version,status,timestamp,latitude,longitude,altitude,roll,pitch,heading,latitude_sigma,longitude_sigma,altitude_sigma,roll_sigma,pitch_sigma,heading_sigma,a_sigma,b_sigma,c_sigma,quality,number_of_satellites,hdop
0,0,88984031,37.5774988662,126.897518217,15.8940887451,2.08086800575,-0.85817617178,-132.117141724,0,0,0,0,0,0,0,0,0,5,6,0
0,0,88993988,37.5774983505,126.897518905,15.8945665359,2.09845781326,-0.891407728195,-132.103668213,0,0,0,0,0,0,0,0,0,5,6,0
0,0,89014631,37.5774973201,126.897520286,15.8960781097,2.1204020977,-0.948302447796,-132.066650391,0,0,0,0,0,0,0,0,0,5,6,0
0,0,89023862,37.5774968074,126.897520972,15.8965015411,2.13300728798,-0.971965610981,-132.051986694,0,0,0,0,0,0,0,0,0,5,6,0
0,0,89034794,37.5774962923,126.897521659,15.8969478607,2.14314866066,-0.997634112835,-132.034164429,0,0,0,0,0,0,0,0,0,5,6,0
0,0,89043888,37.577495783,126.897522348,15.8975954056,2.15300345421,-1.02416205406,-132.016586304,0,0,0,0,0,0,0,0,0,5,6,0
0,0,89053903,37.5774952733,126.897523031,15.8977003098,2.16566586494,-1.04501771927,-132.001052856,0,0,0,0,0,0,0,0,0,5,6,0
0,0,89063890,37.5774947615,126.897523716,15.8980255127,2.18262553215,-1.06633174419,-131.984329224,0,0,0,0,0,0,0,0,0,5,6,0
0,0,89074818,37.5774942444,126.897524406,15.8976898193,2.18652153015,-1.08094215393,-131.968399048,0,0,0,0,0,0,0,0,0,5,6,0
0,0,89083926,37.5774937379,126.897525087,15.8974313736,2.20353841782,-1.09056782722,-131.954818726,0,0,0,0,0,0,0,0,0,5,6,0
0,0,89093863,37.577493229,126.897525769,15.8975105286,2.2113878727,-1.09549534321,-131.936828613,0,0,0,0,0,0,0,0,0,5,6,0
0,0,89103900,37.577492715,126.897526457,15.896812439,2.21665906906,-1.10111033916,-131.919006348,0,0,0,0,0,0,0,0,0,5,6,0
0,0,89114618,37.5774922113,126.897527135,15.8963823318,2.22576904297,-1.10122489929,-131.903823853,0,0,0,0,0,0,0,0,0,5,6,0
0,0,89123909,37.5774917056,126.897527815,15.8961296082,2.23218631744,-1.10076653957,-131.886123657,0,0,0,0,0,0,0,0,0,5,6,0
0,0,89133883,37.5774911949,126.897528493,15.8953523636,2.23676991463,-1.09606826305,-131.868591309,0,0,0,0,0,0,0,0,0,5,6,0
